Tartu Airport,58.307,26.690
Enontekio Airport,68.362,23.424
Eura Airport,61.116,22.201
Halli Airport,61.856,24.786
Helsinki Malmi Airport,60.254,25.042
Helsinki Vantaa Airport,60.317,24.963
Hameenkyro Airport,61.689,23.073
Hanko Airport,59.848,23.083
Hyvinkää Airfield,60.654,24.881
Kiikala Airport,60.462,23.652
Immola Airport,61.249,28.903
Kitee Airport,62.166,30.073
Ivalo Airport,68.607,27.405
Joensuu Airport,62.662,29.607
Jyvaskyla Airport,62.399,25.678
Kauhava Airport,63.127,23.051
Kemi-Tornio Airport,65.778,24.582
Kajaani Airport,64.285,27.692
Kauhajoki Airport,62.462,22.393
Kokkola-Pietarsaari Airport,63.721,23.143
Kemijarvi Airport,66.712,27.156
Kuusamo Airport,65.987,29.239
Kittilä Airport,67.700,24.846
Kuopio Airport,63.007,27.797
Lahti Vesivehmaa Airport,61.144,25.693
Lappeenranta Airport,61.044,28.144
Mariehamn Airport,60.122,19.898
Menkijarvi Airport,62.946,23.518
Mikkeli Airport,61.686,27.201
Nummela Airport,60.333,24.296
Oulu Airport,64.930,25.354
Piikajarvi Airport,61.245,22.193
Pori Airport,61.461,21.799
Pudasjärvi Airport,65.402,26.946
Pyhäsalmi Airport,63.731,25.926
Raahe Pattijoki Airport,64.688,24.695
Rantasalmi Airport,62.065,28.356
Rovaniemi Airport,66.564,25.830
Rayskala Airport,60.744,24.107
Savonlinna Airport,61.943,28.945
Selanpaa Airport,61.062,26.798
Sodankyla Airport,67.394,26.619
Tampere-Pirkkala Airport,61.414,23.604
Teisko Airport,61.773,24.027
Turku Airport,60.514,22.262
Utti Air Base,60.896,26.938
Vaasa Airport,63.050,21.762
Varkaus Airport,62.171,27.868
Ylivieska Airfield,64.054,24.725
Belfast International Airport,54.657,-6.215
St Angelo Airport,54.398,-7.651
George Best Belfast City Airport,54.618,-5.872
City of Derry Airport,55.042,-7.161
Birmingham International Airport,52.453,-1.748
Coventry Airport,52.369,-1.479
Leicester Airport,52.607,-1.031
Gloucestershire Airport,51.894,-2.167
